Description;Vendor;Amount Paid;Type;Expense type (CF)
Bank fee for order 176  in UZS;NBU OF UZBEKISTAN;1 500;Cashbook;
Bank fee for order 174  in UZS;NBU OF UZBEKISTAN;122 357;Cashbook;
Bank fee for order 174  in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Currency Exchange EUR/UZS;A&M; (168 285 000);Cashbook;
travel expenses-tickets;Lango Trading LLC;48 088 186;AP;Travel&Transport
Bank fee for order 175  in UZS;NBU OF UZBEKISTAN;240 441;Cashbook;
Bank fee for order 175  in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Currency Exchange EUR/UZS;A&M; (886 720 000);Cashbook;
Prepayment for customs clearance;A&M;463 859 839;Cashbook;Fixed assets purchase
Currency Exchange EUR/UZS;A&M; (165 900 000);Cashbook;
Transfer from UZS account to UZS Salary;NBU OF UZBEKISTAN;388 023 051;Cashbook;Payroll
Salary tax_PIT;A&M;100 921 148;Payroll 1;Payroll
Bank fee for order 178 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Salary tax_Social security contribution;A&M;143 476 504;Payroll 1;TAXES - Payroll
Bank fee for order 179 in UZS;NBU OF UZBEKISTAN;300;Cashbook;
Prepayment for customs clearance;A&M;75 000;Cashbook;Fixed assets purchase
Transfer from UZS account to Corp Card;NBU OF UZBEKISTAN; (10 000 000);Cashbook;
BD meal (Rakhmanov_Abu Dhabi Uzbek investment);LLC Sakura City;6 043 200;AP;Business Development 
BD meal (Nefediev_PWC);Kurant LLC;1 780 000;AP;Business Development 
Printing & Photocopying outside;Intach DI LLC;230 000;AP;Office supply
Office supplies;KANSTIK LLC;1 056 400;AP;Office supply
Office supplies - telefon;MEDIAPARK GROUP LLC;1 214 000;AP;Office supply
Team meeting;ARROWS CORNER;952 000;AP;Business Development 
Transfer from UZS account to Corp Card;A&M; (8 000 000);Cashbook;
Currency Exchange EUR/UZS;NBU OF UZBEKISTAN;1 500;Cashbook;
