,Description,Vendor,Type,Expense type (CF),Category_ML
251,legal services,SCHNEIDER GROUP Uzbekistan,AP,Legal & Tax consulting Fees,Business Development 
252,Consultung services,CENTIL,AP,Legal & Tax consulting Fees,Business Development 
253,Consulting services,Shneider Group,AP,Legal & Tax consulting Fees,Business Development 
254,Rent Paid - Office,Invest Assets Plus LLC,AP,Office rent ,Business Development 
255,Subletting agreement № 40АР-СУБ  10.06.2022г,A&M PE UZB,AR,Office rent ,Office rent 
256,Rent Paid,OOO Invest Assets Plus,AP,Office rent ,Office rent 
257,Real estate market analysis in Tashkent,Cushman and Wakefield,AP,Office rent ,Business Development 
258,parking services,OOO Invest Assets Plus,AP,Office rent ,Office rent 
259,cleaning services (September),OOO Invest Assets Plus,AP,Office rent ,Office rent 
260,Office supplies ,PERSPECTIVE TRADE LLC,AP,Office supply,Business Development 
261,Printing & Photocopying outside,Intach DI LLC,AP,Office supply,Office supply
262,Office supplies,KANSTIK LLC,AP,Office supply,Office supply
263,Office supplies - telefon,MEDIAPARK GROUP LLC,AP,Office supply,Information Technology 
264,Printing & Photocopying outside,Printuz,AP,Office supply,Office supply
265,Supplies Kitchen,Shaffof Servis,AP,Office supply,Office supply
266,Supplies Kitchen,Premium Tea Group ,AP,Office supply,Office supply
267,Office supply ,Kansler LLC,AP,Office supply,Business Development 
268,Supplies Kitchen ,NEXT ARTIFICIAL SOLUTIONS,AP,Office supply,Office supply
269,Office supplies,UNIVERSAL HOME,AP,Office supply,Office supply
270,Office supplies- vacuum cleaner,ATE LLC,AP,Office supply,Business Development 
271,Supplies Kitchen,ANGLESEY FOOD DP LLC,AP,Office supply,Office supply
272,Supplies Kitchen ,Mediapark Group LLC,AP,Office supply,Office supply
273,Supplies Kitchen ,Dostlar Biznes Group,AP,Office supply,Office supply
274,Supplies Kitchen ,YATT PAK SERGEY VLADIMIROVICH,AP,Office supply,Office supply
275,Supplies Kitchen ,Home Garden LLC,AP,Office supply,Office supply
276,Supplies Kitchen ,Majid Al Futtaim LLC,AP,Office supply,Office supply
277,Supplies Kitchen ,HOTPOINT STORE,AP,Office supply,Office supply
278,Supplies Kitchen ,Strou City Plus LLC,AP,Office supply,Office supply
279,Supplies Kitchen ,ANGLESEY FOOD DP LLC,AP,Office supply,Office supply
280,Supplies Kitchen ,YATT TURSUNOV MUROD XAKIM,AP,Office supply,Office supply
281,Supplies Kitchen ,HOME DEPOT BUILDINGS,AP,Office supply,Office supply
282,Office supplies first aid kit,ANVAR  FARMSERVIS,AP,Office supply,Business Development 
283,Supplies Kitchen ,DOSTLAR BIZNES GROUP LLC,AP,Office supply,Office supply
